,topic,last_sentence,checked_sentence,eval_label,generated_sentence
57,Online shopping,Online shopping,"Consumers find a product of interest by visiting the website of the retailer directly or by searching among alternative vendors using a shopping search engine, which displays the same product's availability and pricing at different e-retailers.",I shop online way too much. I tend to visit too many retailers and searching for products I might want or need and it shows me everything I want to know.,"i love to shop online online . i like to use computers , computers , and video games ."
58,Insane Clown Posse,"Insane Clown Posse
Do you know anything about the band called Insane Clown Posse?",Insane Clown Posse (ICP) is an American hip hop duo composed of Violent J (Joseph Bruce) and Shaggy 2 Dope (originally 2 Dope; Joseph Utsler).,"Insane Clown Posse (ICP) is an American hip hop duo composed of Violent J ,and Shaggy 2 Dope . ",i have a lot of cool tracks . i know he was a huge fan of the game .
59,Ireland,"Ireland
My mom was born in Ireland. ","Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.","Wow that's cool! Is she from Northern Ireland, or the Republic of Ireland? ",i was a little bit of a child . it is the third - largest country in the european island in the european island .
60,History of video games,"Game design
I help design video games for a living. More on the concept side, less on the actual building! Do you play?","Since the 1980s, video gaming has become a popular form of entertainment and a part of modern popular culture in most parts of the world.","Off and on, it seems as if gaming has become a part of popular culture.  What types of games do you design?","i do not . i play video games , but i play video games on my device ."
61,John Grisham,John Grisham,"John Ray Grisham Jr. (; born February 8, 1955) is an American bestselling writer, attorney, politician, and activist best known for his popular legal thrillers.","I really like John Grisham books and movies. He is so multi-talented, since he is a writer, politician, attorney and activist!",i love john ' s music . he was born in 1948 .
62,Paramedic,"Paramedic
Hi, I am studying to be a Paramedic. Can you help me?","A paramedic is a healthcare professional, predominantly in the pre-hospital and out-of-hospital environment, and working mainly as part of emergency medical services (EMS), such as on an ambulance.","Thats cool, you are preparing to be a  healthcare professional, predominantly in the pre-hospital and out-of-hospital environment","i have not , but i know it is a physical health system in the united states ."
63,Bowling,"Bowling
I really like bowling but I have not done it in awhile. Has anything changed about it?",It is one of the major forms of throwing sports.,Bowling is one of major throwing sports. It has not changed,"i ' ve never been a fan of it , but i know it ' s a mix of wood and rubber ."
64,no_passages_used,yes...who doesn't love Elvis Presley and his music?,no_passages_used,Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.,"i ' m not sure , but i do know she is a singer and songwriter ."
65,Ireland,"Exactly, do you know any thing about Island north Atlantic?","The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,"i ' m not sure , but the ocean is the third largest country in the world ."
66,History of archery,And a great sport it is. Do you know where archery originated from?,"The bow and arrow are known to have been invented by the end of the Upper Paleolithic, and for at least 10,000 years archery was an important military and hunting skill, and features prominently in the mythologies of many cultures.","It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures.",it is a chinese chinese chinese chinese chinese chinese chinese chinese .
67,Chihuahua (dog),"Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",Both folklore and archaeological finds show that the breed originated in Mexico.,"Yeah their history is shrouded in mystery, but the breed originated in Mexico.",i think so too . i think they are the second most intelligent dog breed .
68,Motivation,That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?,"According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""","I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?",i understand that . i understand that it is necessary to understand how negative incentives is .
69,Hunting,Hi. What sort of animals?,Hunting can also be a means of pest control.,"The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.","i like to draw style style , but i like blues style style style ."
70,The Walking Dead (TV series),I have never watched it.  Who is in the show?,"Andrew Lincoln plays the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ""walkers"".",The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes. ,it was a game of game of thrones
71,Harry Potter,"I do know them, but I have only seen the movies, I never read the books",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.,"i think it ' s a classic , it ' s sold over 100 million copies ."
72,Thierry Henry,Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.,"He played for Monaco, Juventus, Barcelona, New York Red Bulls and spent eight years at Arsenal where he is the club's all-time record goalscorer.","He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere ",he was a german player who founded the world ' s own union .
73,Hunting,"No, i haven't. It's not really my cup of tea.",Hunting can also be a means of pest control.,"I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops. ","i like darjeeling and chinese greens , but i like darjeeling and chinese greens ."
74,Broken heart,"I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.","Emotional pain that is severe can cause 'broken heart syndrome', including physical damage to the heart.","When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.","i have been afraid of the loss of loss , but i have been married for a long time ."
75,List of national parks of the United States,"Yes, I have never been there but I would love to go, have you been?","A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872, followed by Mackinac National Park in 1875 (decommissioned in 1895), and then Rock Creek Park (later merged into National Capital Parks), Sequoia and Yosemite in 1890.","I have! I've also been to Rock Creek Park, Yosemite, and Mackinac National Park!","yes , it was established in 1872 by president ulysses grant ."
76,Discovery Channel,Oh yeah I've noticed that it really took a dip in quality recently.,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",The discovery channel was simply referred to as didcovery back in 1985 tho,i like cartoons too . i like cartoons too .
77,American football,"They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it.","The offense, which is the team controlling the oval-shaped football, attempts to advance down the field by running with or passing the ball, while the defense, which is the team without control of the ball, aims to stop the offense's advance and aims to take control of the ball for themselves.","yes one day our offense will do great things with the football. Running, passing our way to victory.","i ' m not sure , but i know dallas is the dallas team team based in dallas , texas ."
78,Guns N' Roses,Id say my favorite is Appetite for destruction ,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Yes that is  good.  They have released six studio albums and sold more than 100 million records worldwide.,"i like the red hot chili peppers , they have sold over 80 million records worldwide ."
79,Nickelback,"The lead singer was very funny during the set, I forget his name though.","Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada.",I wasn't aware at first but Nickelback is not American there originating from Canada,i think they are the best . they have released three albums on the billboard 200 chart .
80,Rock N Roll Experience Magazine,"Yes, I love classic rock, especially from the 50s.",Rock N Roll Experience Magazine is a Maryland based publication that started out in 1992 as a print zine and switched over to an online zine in 2000.,yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes,i love elvis presley ' s music . he ' s also a singer and songwriter .
81,no_passages_used,"Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience",no_passages_used,"That reminds me, have you ever heard of the band Let's Go Bowling? It's a ska band from California.","i agree , it is very relaxing and relaxing ."
82,Super Bowl commercials,It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements,"The U.S. television broadcast of the Super Bowl – the championship game of the National Football League (NFL) – features many high-profile television commercials, colloquially known as Super Bowl ads.","Oh I can understand that, advertising is so frustrating unless they are super bowl commercials. I like to watch Redzone on Sunday's ever heard of it?",i agree . i think it ' s the best selling game of all time . i ' ve heard that the commercials are so good .
83,Skiing,Wow! I wonder where it originated?,"Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","Modern skiing came from Scandinavia, but it was thought to originally come from China, as seen in ancient paintings. Who would've thought.","it was first described as a sport , and has been described as a five millennia of physical , and physical attributes ."
84,Harry Potter,I really think that Harry Potter should not have been the main character though,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.",The story concerns Harry's battle with Lord Voldemort.,i think it ' s the best selling book of all time .
85,Skiing,"I have only went skiing once and loved it!  It was really hard though.  I imagine it takes a lot of practice, right?",On one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.,Sure.it takes a lot of endurance . one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.,"i ' m not sure , but i do know that it ' s a sport that involves descending a slope on a board ."
86,"On-again, off-again relationship","Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.","Sometimes when couples break up, one member of the relationship may regress to their former partner for comfort after a period of time.",Did you ever go back to your partner for comfort?,"i think it ' s a good thing to do , but i ' m not sure if you ' re willing to do it . i ' m sure you ' re not alone ."
87,The Walking Dead (TV series),"Yes, but it's garbage.","Andrew Lincoln plays the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ""walkers"".",I like the actor Andrew Lincoln. He plays the lead character as a sheriff's deputy.,i love that they have sold over 40 million albums sold worldwide .
88,Dylan's Candy Bar,They have everything! i just love it,"It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.",Yes Ralph Laurens daughter Dylan  Lauren owns them,i have heard that it is a bar bar based in chicago
89,American football,I think my favorite team is the cowboys,The team with the most points at the end of a game wins.,"Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game.",i love that it is played by 250 million players in over 200 countries .
90,Ireland,i have not been there but id love to,Ireland is the third-largest island in Europe.,"Its not too big but it is the third largest island in Europe so not too small, seems like a lively and nice place.","i have never been to the atlantic ocean , but i have been to the atlantic ocean ."
91,Guns N' Roses,All the great bands come from LA. Is the band still together today?,"The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.","Axl Rose, Slash, Izzy, Duff and Steven Adler still perform today!",they formed in 1993 . they formed their debut album in 1993 .
92,Game design,That sound interesting.  What is a metadesign?  I have never heard of it.,"Increasingly, elements and principles of game design are also applied to other interactions, particularly virtual ones (see gamification).",its when elements in game design are applied to other virtual ones. ,it is a process of creating a video game that involves creating a video game of creating images .
93,Popcorn,Who invented popcorn?,"Corn was first domesticated 9,000 years ago in what is now Mexico.","I am not sure, but corn was developed in Mexico long ago.",it was invented by the wheat process .
94,Cod,I like Cod but only eat Wild Caught Cod. I prefer to eat fish that is not farm raised due to the pesticides in the food.,"Cod is also used as part of the common name for a number of other fish species, and some species suggested to belong to genus ""Gadus"" are not called cod (the Alaska pollock).",Yes the two most common are atlanticcod and pacific cod,"yes , i agree . i like a lot of meat and juicy meat ."
95,Discovery Channel,That is great.  I really enjoy the Discvery Channel.  ,", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.",I am so glad!  A lot of great shows are on the Discovery Channel. It's the third most widely distributed cable channel in the U.S.,it is one of the most popular cable shows in the united states .
96,Dave Matthews,Born in the late 70s so didn't really start to appreciate music until the 1990s onwards. Loved Dave Matthews Band,"Since then, he has also done various solo performances and produced other records.","I was never a big fan of the Dave Matthews Band, but I actually really dig some of his solo performances.","i like that album , and i like that album , "" sun "" sold roses , and "" appetite for destruction "" ."
97,Bowling,"are you on a team, my dad was always on a bowling team when I was growing up","A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.",Usually i just play with a friend and the pins are knocked down every time I play!,i was a little bit of driving my life and i love to improve my life and happiness .
98,Harry Potter,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",It must be very popular to have sold more than 500 million copies around the world. It has been translated to 73 languages!,"yes , harry potter is a british american epic fantasy series ."
99,Archery,"Wow, i have watched it a few times but i don't know much about it could you tell me more","Historically, archery has been used for hunting and combat.","Well way back in history, archery was less a sport and more a means of hunting and combat.",it is a chinese chinese chinese chinese chinese chinese chinese .
100,Water skiing,Interesting. Snow skiing or water skiing?,"In addition, the skier must have adequate upper and lower body strength, muscular endurance, and good balance.",I have tried both. I was better at snow skiing than water skiing. I think for water skiing I wasnt strong enough to hold myself up.,i think it is more dangerous than skiing than skiing .
101,High school diploma,where were your classes taken?,A high school diploma is a North American academic school leaving qualification awarded upon high school graduation.,I took classes in high school before getting my diploma.,i have a lot of classes and classes . i ' m not sure how many degrees require a higher level of education .
