,topic,last_sentence,checked_sentence,eval_label,generated_sentence
21,Budweiser,Ah I thought so. I'm not a big fan of theirs because I feel like the beer is really weak and watered down.,"Budweiser () is an American-style pale lager produced by Anheuser-Busch, currently part of the transnational corporation Anheuser-Busch InBev.","Compared to Canadian beer, I guess it is!  It is a pale lager though, and is produced by Anheuser-Busch","Yes, that's true.  I think it's interesting that Budweiser is considered the brewery's ""signature product"" and a ""symbol of national pride"""
22,Coors Brewing Company,what share of the market for beer did they capture ?,"The Coors Brewing Company is a regional division of the world's third-largest brewing company, the Molson Coors Brewing Company.","I don't know the exact amount but I do know that the company is a regional division of the world's third-largest brewing company, the Molson Coors Brewing Company.","I'm not sure, but I do know that they are the world's third largest brewing company."
23,Chicken parmigiana,"I love chicken parmigiana as well, but I think my ultimate favorite is beef lasagna...extra cheese please!","It consists of a breaded chicken breast topped with tomato sauce and mozzarella, parmesan or provolone cheese.",Chicken with sauce and mozzarella.... Be still my heart!,"I love lasagna too!  It's a traditional Italian dish that originated in Naples, Italy."
24,Purple,"Purple
My favorite color is purple, do you know much about that color?",Purple is a color intermediate between blue and red.,I don't know much about the color except that it is an intermediate color between blue and red. I do like it though.,Purple is a color that is intermediate between blue and red. It is a composite color made by combining red and blue.
25,Digital camera,"Yes , Cinematography finds uses in many fields of science and business as well as for entertainment purposes",A digital camera or digicam is a camera that captures photographs in digital memory.,"Some however prefer using   digital camera or digicam ,which is a camera that captures photograph.","In 1845, Francis Ronalds invented the first successful camera able to make continuous recordings of the varying indications of meteorological and geomagnetic instruments over time."
26,Genius,Are there organizations or anything that you could belong to if you were a genius?,"Because the achievements of exceptional individuals seemed to indicate the presence of a particularly powerful ""genius"", by the time of Augustus, the word began to acquire its secondary meaning of ""inspiration, talent"".","the world began to acquire its secondary meaning of inspiration, talent",there is no scientifically precise definition of genius so there is no way to know if you are a genius
27,Husky,I bet they retire them at a certain age then they need a home huh,"The word ""husky"" originated from the word referring to Arctic people in general, Eskimos (a.k.a.",Yes. Huskies got their name from the word referring to Eskimos.,"That's true! The word ""husky"" originated from the word referring to Arctic people in general, Eskimos."
28,Orc,Orc,An orc (also spelled as ork) is a fictional humanoid creature that is part of a fantasy race akin to goblins.,Orcs are cool fictional humanoid beings,Have you ever played the role of an Orc in a fantasy role-playing game? It's a game where you play a character that is a humanoid humanoid creature.
29,Budweiser,Ah my favorite kind of beer are the stouts. Like a nice milk or chocolate stout with a much larger alcohol content. ,It is made with up to 30% rice in addition to hops and barley malt.,"That sounds yummy!  Interestingly, Budweiser is made with hops and barley malt, with  up to 30% rice as well","Yes, I love stouts too!  They are usually brewed from a pale malt or lager malt base with a small proportion of darker malt added to achieve the desired shade"
30,Molson Coors Brewing Company,"Wow, that a huge one, thanks for enlightening me about Coors Brewing Company",It is the world's seventh largest brewer by volume.,"Oh no problem, the Molson Coors brewing Co that was formed in 2005 is now the Coors Brewing Company.","Coors operates a brewery in Golden, Colorado, that is the largest single brewery facility in the world."
31,Cheddar cheese,"Truthfully, anything with cheese is the best","It is the second-most popular cheese in the US (behind mozzarella), with an average annual consumption of per capita.",Especially cheddar cheese!  It's the second most popular cheese in the US!,Oh yes!  It's really changed over the years but it still has good roots.  I love lasagna!
32,Purple,"Oh that's cool, do you know if purple had any historical uses?","According to surveys in Europe and the U.S., purple is the color most often associated with royalty, magic, mystery and piety.","I would say that it was useful in draping the past Royalty of Europe and other countries, as well as many magician's ensembles.",Purple was the color worn by Roman magistrates and rulers of the Byzantine Empire. It was also worn by the Roman Catholic bishops.
33,Digital photography,Yes now digital camera is trendy,"Until the advent of such technology, photographs were made by exposing light sensitive photographic film and paper, which was processed in liquid chemical solutions to develop and stabilize the image.","Prior to the advent of digital technology,  photographs were made by exposing light sensitive photographic film and paper, which was processed in liquid chemical .","Yes buddy,  Digital cameras can display images on a screen immediately after being recorded, and store and delete images from memory."
34,The Rolling Stones,The Rolling Stones,"The Rolling Stones are an English rock band formed in London, England in 1962.",I love the Rolling Stones. Do you? They were formed in 1962.,Have you ever heard of the Rolling Stones? They are one of the most popular bands in the history of rock and roll.
35,New York City,"New York City
New York City has always fascinated me.  Have you ever been there?","The City of New York, often called New York City or simply New York, is the most populous city in the United States.","I haven't, but I don't know if I do want to go or not lol. It's the most populated city in America so I don't know if I'm up to so many people!","I have never been to New York City, but I've always wanted to go. I've heard it is the cultural capital of the world."
36,Orc,Yeah I've seen them in a lot of things like Magic and DnD.,"While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".",While the concept remains the same it draws on many preexisting mythology ,They are part of a fantasy race akin to goblins. They are also spelled ork or kobold
37,Budweiser,"Oh I didn't know they used rice in their beer. I figured that was all barley, wheat and hops.","In 1876, Adolphus Busch and his friend Carl Conrad, a liquor importer, developed a ""Bohemian-style"" lager in the United States, inspired after a trip to the region.","Yes, and it is a Bohemian-style lager developed by Adolphus Busch and his friend Carl Conrad","Yes, that's true!  Interestingly, Budweiser is made with hops and barley malt, with  up to 30% rice as well"
38,Football,"Football
I am a big fan of football.  I didn't watch it as much last season, but I am still a big fan!","Football is a family of team sports that involve, to varying degrees, kicking a ball with a foot to score a goal.","I'm not really a big fan, but I haven't watched it too much. I know it's kicking a ball and scoring a goal on a field though lol!","Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal."
39,Coco Chanel,Coco Chanel,She was the founder and namesake of the Chanel brand.,I learned that the founder of the Chanel brand's first name is Coco. Are you familiar with the brand?,Coco Chanel was a french fashion designer and business woman.  She was a great person.
40,Purple,Wow that's really neat. Do you know what wavelengths of light purple occurs at?,"It is similar to violet, but unlike violet, which is a spectral color with its own wavelength on the visible spectrum of light, purple is a composite color made by combining red and blue.",I'm not sure exactly what wavelengths it occurs at. I do know that purple is similar to violet but unlike that spectral color it is a composite color.,"I'm not sure but I do know that it is similar to violet, but unlike violet, which is a spectral color with its own wavelength on the visible spectrum of light, purple is a composite color made by combining red and blue."
41,Basenji,"Dog
Hi, do you like dogs?",The Basenji is a breed of hunting dog.,"I do! Actually, my favourite is the Basenji breed! It is a hunting dog.","I love dogs! They were the first species to be domesticated and have been selectively bred over millennia for various behaviors, sensory capabilities, and physical attributes."
42,The Rolling Stones,I love them!  Who was in the band at the start?,"The first stable line-up consisted of Brian Jones (guitar, harmonica), Mick Jagger (lead vocals), Keith Richards (guitar, backing vocals), Bill Wyman (bass), Charlie Watts (drums), and Ian Stewart (piano).","The first lineup was Brian Jones, Mick, Keith, Bill Wyman, Charlie Watts and Ian Steward.","Brian Jones, Mick Jagger, Keith Richards, Bill Wyman, Charlie Watts, and Ian Stewart."
43,New York City,What is the city population?,"With an estimated 2016 population of 8,537,673 distributed over a land area of about , New York City is also the most densely populated major city in the United States.","There is around 9 million people in New York, and they are also the most densely populated of a major city, due to the size of the area. ",It's about 43% of New York State's population and 36% of the population of the New York metropolitan area.
44,Orc,That's really interesting! Orcs are some of my favorite fictional characters honestly.,"While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".",Orcs were actually created by J R R Tolkein,"The humanoid, non-maritime race of orcs that exists in Middle-earth is the invention of J.R. R. Tolkien"
45,Stephen Hawking,Stephen Hawking,"Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.",Stephen Hawking is my favorite psysicist!,"I love Stephen Hawking, he is one of the greatest minds of all time. He is a genius."
46,Football,Ha.  Yes; the rules seem a little bit different compared to futbol.,"Unqualified, the word ""football"" is understood to refer to whichever form of football is the most popular in the regional context in which the word appears.","Yes, true, and I know 'football' depends a large extent of the area that it is being played, into which form of football it is.","I know, I know. I'm not really a soccer fan myself, but I do know that it's a team sport played with a spherical ball between two teams of eleven players."
47,Coco Chanel,Yes I wear her fragrance Chanel #5 for the last two decades,"Along with Paul Poiret, Chanel was credited in the post-World War I era with liberating women from the constraints of the ""corseted silhouette"" and popularizing a sporty, casual chic as the feminine standard of style.","I also did not realize how far back the Chanel brand goes. Post WWI, Coco along with Paul Poiret made popular a look for women that was more sporty and chic.","She was credited with liberating women from the constraints of the ""corseted silhouette"" and popularizing a sporty, casual chic as the feminine standard of style."
48,Purple,"What exactly is a composite color, can you explain that a bit more?",Purple is a color intermediate between blue and red.,Composite means that purple is a simple color made by combining red and blue. Violet is different because it's spectral.,A composite color is a color made by combining red and blue. It is also known as a spectral color with its own wavelength on the visible spectrum of light.
49,Havanese dog,"Oh, those are cool. I have seen them on the Westminster Dog Show, but I've never met one in person. I have a Havanese. ","The Havanese, a breed of Bichon type, is the national dog of Cuba, developed from the now extinct ""Blanquito de la Habana"" (""little white dog of Havana"").","Wow, are you Cuban? I know that the Havanese are the national dog of cuba!",I have never met a Havanese! I know they were bred from stock that originated in central Africa.
50,no_passages_used,Was Mick ever replaced?,no_passages_used,I don't believe so. He's still with the band.,"No, Mick was the only one to be replaced. Keith Richards was the first to replace him."
51,New York City,Wow!  I didn't realize it was that much!  What is fun to do in the city?,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.","Well, New York is a very powerful city, known for their culture, financial and media, so they have a lot of influence on commerce, research, entertainment, technology, education, politics and sports around the world. So plenty, plenty to do!","There are so many things to do in New York City, like the Statue of Liberty, the Empire State Building, and the Metropolitan Museum of Art. "
52,Science fiction,Science fiction,"Historically, science-fiction stories have had a grounding in actual science, but now this is only expected of hard science fiction.","Science fiction used to be based on actual science, but now it is pretty much only hard science fiction that bases itself on real science.","Do you like science fiction? It is a genre of speculative fiction, typically dealing with imaginative concepts such as advanced science and technology, spaceflight, time travel, and extraterrestrial life."
53,Stephen Hawking,"Stephen Hawking, my goodness.  I am pretty sure i heard his robot voice on that TV show ""The Big Bang Theory"".  Wasn't he also a recurring cast member on ""The Simpsons""?",Hawking was the first to set out a theory of cosmology explained by a union of the general theory of relativity and quantum mechanics.,Yes! But I'm not sure that was actually him speaking. He was first to make a theory about cosmology.,"Yes, he was on the Simpsons! He was also on ""Futurama"" and ""The Big Bang Theory"""
54,no_passages_used,"If you do watch football, do you watch the NFL or do you watch NCAA College football?  Or do you go to local High School games?",no_passages_used,"I would usually watch NFL, and when my son played in school. ","I watch the NFL, but I do go to my local High School football games. I know college football is the second tier of American football in the US and Canadian football in Canada."
55,Coco Chanel,Yes Coco Chanel was a French fashion designer and a business woman who became an icon,"She is the only fashion designer listed on ""TIME"" magazine's .","Its fascinating her rise in the fashion world. As a matter of fact, she is the only fashion designer to be listed in the Time magazine top 100.","She was also the only fashion designer listed on ""Time"" magazine's ""Time 100"" list of the 100 most influential people in the world."
56,Iguana,Iguana,"Iguana (, ) is a genus of herbivorous lizards that are native to tropical areas of Mexico, Central America, South America, and the Caribbean.","I love Iguanas, I have a few as pets. Do you like lizards at all?",I love iguanas.  They are a type of lizard that is native to South America.
57,Dog,"No, not Cuban, but yes they are the national dog of Cuba! Apparently all the Havanese in the US are descended from a handful that came here from Cuba during the revolution!","The dog was the first species to be domesticated and has been selectively bred over millennia for various behaviors, sensory capabilities, and physical attributes.","Wow! So amazing- imagine,  they were the first species to be domesticated!","Wow, that's amazing! I didn't know that the Havanese is the national dog of Cuba! I wonder how many of them are in the US?"
58,The Rolling Stones,Nice!  I love all their songs.  Ruby Tuesday is a favorite. ,"Following Wyman's departure in 1993, Darryl Jones joined as their touring bassist.",That is a great song. One of my favs. Wyman left in 1993. Then Darryl Jones replaced as touring bassist.,Ruby Tuesday is one of my favorite songs. It was written by Mick Jagger and Keith Richards.
59,Manhattan,What would you recommend since I wouldn't even know where to start?  I heard that Broadway is big there.,"Locally it is often referred to simply as ""The City"".","Manhattan is known as ""The City"" by the locals, and so there is so much there. Broadway is wonderful in New York, there are also islands you could visit!","Well, if you're looking for something to do in New York City, you could always go to Times Square, which is the hub of the Broadway Theater District, one of the world's busiest pedestrian intersections, and a major center of the entertainment industry."
60,Science fiction,"Well, it still has some basis in actual science I assume. It is 'fictional'...but everything has a basis in truth in my opinion","It usually avoids the supernatural, unlike the related genre of fantasy.","Do you read science fiction?  Usually science fiction stays away from the supernatural, unlike the related genre of fantasy.","Yes, I agree. It is hard to define science fiction because it includes a wide range of subgenres and themes."
61,Stephen Hawking,"Cosmology.  I think Carl Sagan was a cosmologist as well.  What do you think they did with Stephen Hawkings robot computer?  I mean, its not like it could be used by someone else.  Did they give it to Goodwill or something?","In 2002, Hawking was ranked number 25 in the BBC's poll of the 100 Greatest Britons.","Haha, I hope that didn't go to Goodwill. He was ranked #25 in BBC's poll of 100 greatest Britons. Probably in a museum","I'm not sure, but I do know that he was the director of research at the Centre for Theoretical Cosmology at the University of Cambridge at the time of his death."
62,History of the National Football League in Los Angeles,"Do you keep up with the news of the NFL?  If so, what types of controversies surround the NFL now?  ","Professional American football, especially its established top level, the National Football League (NFL), has had a long and complicated history in Los Angeles, which is the center of the second-largest media market in the United States.",I know the NFL has had a very complicated history in LA. ,"Yes, I do, and I know that the NFL has had a lot of controversies in the past."
63,Cake,Cake,Cake is a form of sweet dessert that is typically baked., Cake is a form of sweet dessert it is also my favorite,"Cake is one of my favorite desserts.  It is a type of cake made from flour, sugar, and eggs."
64,Lizard,"Yes, I like them. They are interesting.and prehistoric looking.  I like turtles too.","Lizards are a widespread group of squamate reptiles, with over 6,000 species, ranging across all continents except Antarctica, as well as most oceanic island chains.","I agree, they definitely have a prehistoric look to them. There are also over 6000 species spread across the world.","I like turtles too, they are very colorful and colorful. I have a pet turtle myself, he is a turtle turtle."
65,Origin of the domestic dog,"My kids comment sometimes on how funny it is that we have animals live with us and they are like part of the family. Why dogs, and not, say, squirrels? LOL","The domestic dog is a member of the genus ""Canis"", which forms part of the wolf-like canids, and is the most widely abundant terrestrial carnivore.","Exactly! And imagine, they came from a breed of widely abundant terrestrial carnivore. How did we manage to domesticate them?","I agree! I think it's funny that we have dogs because they are so easy to care for, but they are also so dangerous! Squirrels can be dangerous!"
66,Dog,Dog,Their long association with humans has led dogs to be uniquely attuned to human behavior and they are able to thrive on a starch-rich diet that would be inadequate for other canid species.,I love dogs they are really your best friends they have been associated with us humans for many years..,I love dogs! They were the first species to be domesticated and have been selectively bred over millennia.
67,New York City,Islands?  Isn't New York one big island?,"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.","It is, and they have smaller ones around New York. But, I would go visit Brooklyn, Queens, The Bronx, Manhattan and Staten Island. Go see it all!","Yes, it is! It's a big city, but there are also a lot of smaller islands, like Staten Island, Brooklyn, Queens, and Staten Island Rikers Island."
68,History of science fiction,I do. But a lot of what I read does have supernatural in it as well although in small amounts,"The literary genre of science fiction is diverse, and its exact definition remains a contested question among both scholars and devotees.","Science fiction is quite diverse, and its exact definition hasn't yet been determined by scholars and those that love it.  ","Yes, I agree.  It is interesting how science fiction can be influenced by fantasy, too.  For example, Stephenie Meyer's ""Twilight"" series is a great example."
69,Ballet,"Ballet
I have always been interested in Ballet but don't know very much about it.",Ballet () is a type of performance dance that originated during the Italian Renaissance in the 15th century and later developed into a concert dance form in France and Russia.,"Ballet came about from the Italian Renaissance around the 15th century, then caught on fire in Russia and France.",Ballet is a formalized form of dance with its origins in the Italian Renaissance courts of 15th and 16th centuries.
70,Cruise ship,"Travel
I love to travel! I'm actually taking a cruise in September. What about you?","A cruise ship or cruise liner is a passenger ship used for pleasure voyages, where the voyage itself and the ship's amenities are a part of the experience, as well as the different destinations along the way, i.e., ports of call.",I went on a very cool cruise this past January. Cruises are pleasure voyages and the voyage along with the amenities are all part of the experience. We traveled to Mexico.,"I would love to go on a cruise, but I'm not sure if I can afford it.  I've never been on one before."
71,Cake,Cake is so good but I dont eat much of it.,"In its oldest forms, cakes were modifications of breads, but cakes now cover a wide range of preparations that can be simple or elaborate, and that share features with other desserts such as pastries, meringues, custards, and pies.","Well  In its oldest forms, cakes were modifications of breads,",it is a form of sweet dessert it is also my favorite food to eat but i dont eat much of it
72,Iguana,Do they have teeth and does their bite hurt if they bite you?,"Iguanas can range from in length, including their tail.",My Iguanas have teeth but they have never bitten me. I don't think it would hurt terribly because mine are small. Iguanas can vary in length though.,"Yes, they do have teeth, but I don't think they are sharp.  They are also known as Iguanas because they are native to Central America and South America."
73,Origin of the domestic dog,It's a good question. And I wonder when it started happening?  ,"The archaeological record shows the first undisputed dog remains buried beside humans 14,700 years ago, with disputed remains occurring 36,000 years ago.","Well some say 14, 700 years and others have even argued 36,000 years! Blows my mind!","I'm not sure, but I do know that they have been domesticated for at least 10,000 years!"
74,Best Friends Animal Society,Same! Do you have any dogs?,"Best Friends works nationwide in outreach programs with shelters, rescue groups and members to promote pet adoption, no-kill animal rescue, and spay-and-neuter practices.",Yes I have 2 I actually got mines from the Best Friend Animal Society which is a shelter that rescues dogs.,I do not have a dog but I would love to have one they are so attuned to human behavior and they are able to thrive on a starch rich diet that would be inadequate for other canid species.
75,National Football League,"National Football League
I am a huge fan of the NFL.","The National Football League (NFL) is a professional American football league consisting of 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC).",What's your favorite team? I prefer the AFC over the NFC.,The National Football League is one of the four major professional sports leagues in North America and the highest professional level of American football in the world.
76,Science fiction film,Are there any particular examples of Sci-Fi that really stand out?,"Science fiction film (or sci-fi film) is a genre that uses speculative, fictional science-based depictions of phenomena that are not fully accepted by mainstream science, such as extraterrestrial lifeforms, alien worlds, extrasensory perception and time travel, along with futuristic elements such as spacecraft, robots, cyborgs, interstellar travel or other technologies.","There are numerous films though none really stand out - usually about things like extraterrestrial lifeforms, alien worlds, extrasensory perception and time travel","There are a lot of great science fiction movies, but my personal favorite is probably Star Trek: The Next Generation.  "
77,Ballet,It has so many different terms. What language do they come from?,"It has since become a widespread, highly technical form of dance with its own vocabulary based on French terminology.",Most of the vocabulary is French.  Have you ever watched it?,"I'm not sure, but I do know that ballet dancers are trained ballet dancers and choreographed and performed by trained dancers."
78,Cruise ship,"Oh cool! What part of Mexico? I've been to Cancun, but that's it.","There are even ""cruises to nowhere"" or ""nowhere voyages"" where the ship makes 2–3 night round trips without any ports of call.","Our cruise was a Walking Dead cruise with one stop in Cozumel. There are some cruises that ""cruise to nowhere"" and the ship just travels for a few days.",Cancun is a resort city in the south of the country. It's the second most populous city in Mexico.
79,Cake,I bet that was a long time ago?,"Typical cake ingredients are flour, sugar, eggs, butter or oil or margarine, a liquid, and leavening agents, such as baking soda or baking powder.","Yeah if i recall Typical cake ingredients are flour, sugar, eggs, butter or oil or margarine","Yes, but cakes now cover a wide range of preparations that can be simple or elaborate, and that share features with other desserts such as pastries, meringues, custards, and pies."
80,Nintendo,Nintendo,"Nintendo Co., Ltd. is a Japanese multinational consumer electronics and video game company headquartered in Kyoto.","Nintendo Co., Ltd. is a Japanese multinational consumer electronics and video game company ","Nintendo is one of the largest video game companies by market capitalisation, creating some of the best-known and top-selling video game franchises, such as ""Mario"", ""The Legend of Zelda"", and ""Pokémon""."
81,Canada,Canada,Canada (; ) is a country located in the northern part of North America.,"I have many friends in Canada, located in the northern part of North america",Have you ever been to Canada? It's a country in the northern part of North America. 
82,Welsh Corgi,Oh that's awesome.  I have a corgi who is a year old. She's very well behaved and easily trainable.,"The Welsh Corgi, sometimes known as just a Corgi (, Welsh for ""dwarf dog""; plural ""corgis"" or occasionally the etymologically consistent ""corgwn"" ()), is a small type of herding dog that originated in Wales.",That is a dog similar to mines I have a Welsh corgi it is a much smaller dog though originated from Wales.,"I love corgis they are so cute they are a cattle herding dog breed which originated in Pembrokeshire, Wales."
83,National Football League,The AFC? I am all about the NFC and the Saints. ,The NFL was formed in 1920 as the American Professional Football Association (APFA) before renaming itself the National Football League for the 1922 season.,The Saints are a good team. I like Drew Brees. It's crazy that the NFL was formed all the way back in 1920!,The Saints are a great team. They are one of the best teams in the NFL. I like the AFC because they have the best quarterback in Drew Brees.
84,Cinematography,Cinematography,"Cinematography (also called ""Direction of Photography"") is the science or art of motion-picture photography by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as film stock.","Thinking about taking a class on Cinematography, the direction of photography",I am a cinematographer.  I love to make movies.  Do you like to watch movies?
85,Rudolf Nureyev,I watched a movie one time with Mikhail Baryshnikov which I think is where my fascination with it started. Are there other famous ballet dancers I should watch as well?,"Named Lord of the Dance, Nureyev is regarded as one of ballet's most gifted male dancers.","There is a famous Russian named Rudolf Nureyev, he is known as Lord of the Dance, he defected in 1961.","Vaslav Nijinsky, Rudolf Nureyev, and Vladimir Vasiliev are all considered the greatest male ballet dancers in history."
86,Travel,"That's neat. Have you ever wanted to travel to, say, Italy or Greece?","Travel is the movement of people between relatively distant geographical locations, and can involve travel by foot, bicycle, automobile, train, boat, bus, airplane, or other means, with or without luggage, and can be one way or round trip.","I would love to travel to Italy. Traveling is the movement of people from different locations and can be by foot, train, car, plane, cruise, etc. What's your favorite method of traveling?","I've never been to Greece, but I've always wanted to go to Italy. It's a very beautiful country."
