,topic,last_sentence,checked_sentence,eval_label,generated_sentence
13,Budweiser,"Yeah? From my understanding they are called ""Bud"" over in Europe because they have been in a trademark dispute with another beer company. ","In the European Union, excluding the United Kingdom, Republic of Ireland, Sweden, Finland and Spain, the American beer is marketed as ""Bud"", as the Budweiser trademark name is owned solely by the Czech beer maker, Budweiser Budvar.","Yes, that's true because the trademark name of Budweiser is own by the Czech beer maker, Budweiser Budvar","Yes, Budweiser was founded in 1802 by German-speaking citizens in the city of Brno"
14,Coors Light,"Nice, what drinks do they produce?",It was first produced in 1978 by the Coors Brewing Company.,"I would say one of there most popular items is ""Coors Light"" which was first produced in 1978, so after 105 years of being founded. But they sell all kinds of beer.","Coors operates a brewery in Golden, Colorado, that is the largest single brewery facility in the world"
15,Parmigiana,What is your favorite Italian dish?,"Other variations found outside Italy may include chicken, veal, or another type of meat cutlet or vegetable filling.",I really enjoy chicken Parmigiana.  What about you?,I love spaghetti and meatballs.  It's one of the most popular in the world and has a strong influence abroad.
16,Blue Skies (1946 film),Oh that sounds really nice. I bet there was a lot of scenery and blue skies.,"Blue Skies is a 1946 American musical comedy film directed by Stuart Heisler and starring Bing Crosby, Fred Astaire, and Joan Caulfield.","Yes, speaking of Blue Skies, have you seen the 1946 movie staring Bing Crosby?","Yes, the clear daytime sky and the deep sea appear blue because of an optical effect known as Rayleigh scattering."
17,Photography," Muybridge sequence of a horse galloping In the 1830s, moving images were produced on revolving drums and disks","Photography is the science, art, application and practice of creating durable images by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as photographic film.","Cinematography is also a type of photography which is the science, art, application and practice of creating durable images by recording light or other electromagnetic radiation, either electronically by means of an image sensor.","It was invented by Simon von Stampfer  in Austria, Joseph Plateau  in Belgium, and William Horner (zoetrope) in Britain."
18,Genius,Is that a trait that you can tell someone has early on in their life?,"There is no scientifically precise definition of genius, and the question of whether the notion itself has any real meaning has long been a subject of debate, although psychologists are converging on a definition that emphasizes creativity and eminent achievement.",there is no scientifically precise definition of genius,"yes, a genius is a person who displays exceptional intellectual ability. it is a characteristic that is associated with success"
19,Husky,That is so cool and probably helpful but mine is just a pet ,"Huskies are also today kept as pets, and groups work to find new pet homes for retired racing and adventure trekking dogs.",That's not uncommon! There are rescue groups that specialize in finding homes for retired sled dogs.,They are an ever-changing cross-breed of the fastest dogs. They are great for sled-dog racing.
20,Forgetting,yep they just fade away and it can really get to you after a while,"Problems with remembering, learning and retaining new information are a few of the most common complaints of older adults.",Memory problems are one of the most common complaints of older adults,"Memory performance is usually related to the active functioning of three stages. These three stages are encoding, storage and retrieval"
21,Budweiser,Ah I thought so. I'm not a big fan of theirs because I feel like the beer is really weak and watered down.,"Budweiser () is an American-style pale lager produced by Anheuser-Busch, currently part of the transnational corporation Anheuser-Busch InBev.","Compared to Canadian beer, I guess it is!  It is a pale lager though, and is produced by Anheuser-Busch","Yes, I agree with you.  The Budweiser company was founded in 1795 by the city's German-speaking citizens"
22,Coors Brewing Company,what share of the market for beer did they capture ?,"The Coors Brewing Company is a regional division of the world's third-largest brewing company, the Molson Coors Brewing Company.","I don't know the exact amount but I do know that the company is a regional division of the world's third-largest brewing company, the Molson Coors Brewing Company.","I'm not sure, but they are the third largest brewing company in the world, so they have a lot of influence."
23,Chicken parmigiana,"I love chicken parmigiana as well, but I think my ultimate favorite is beef lasagna...extra cheese please!","It consists of a breaded chicken breast topped with tomato sauce and mozzarella, parmesan or provolone cheese.",Chicken with sauce and mozzarella.... Be still my heart!,I love beef lasagna too.  It's a traditional Italian dish that originated in the 19th century.
24,Purple,"Purple
My favorite color is purple, do you know much about that color?",Purple is a color intermediate between blue and red.,I don't know much about the color except that it is an intermediate color between blue and red. I do like it though.,I do know that purple is a color between blue and red. It is similar to violet but not the same wavelength.
25,Digital camera,"Yes , Cinematography finds uses in many fields of science and business as well as for entertainment purposes",A digital camera or digicam is a camera that captures photographs in digital memory.,"Some however prefer using   digital camera or digicam ,which is a camera that captures photograph.","Cinematography is also used in the production of video games, video games consoles, video game consoles, digital video recorders, video editing software, and video editing systems."
26,Genius,Are there organizations or anything that you could belong to if you were a genius?,"Because the achievements of exceptional individuals seemed to indicate the presence of a particularly powerful ""genius"", by the time of Augustus, the word began to acquire its secondary meaning of ""inspiration, talent"".","the world began to acquire its secondary meaning of inspiration, talent","there is no organization that would recognize a genius, but there are many professions that recognize exceptional intellectual ability."
27,Husky,I bet they retire them at a certain age then they need a home huh,"The word ""husky"" originated from the word referring to Arctic people in general, Eskimos (a.k.a.",Yes. Huskies got their name from the word referring to Eskimos.,That's true. The original sled dogs bred and kept by the Inuits were called sled dogs.
28,Orc,Orc,An orc (also spelled as ork) is a fictional humanoid creature that is part of a fantasy race akin to goblins.,Orcs are cool fictional humanoid beings,Have you ever heard of an Orc? They are a sea-beast from the dolphin order.
29,Budweiser,Ah my favorite kind of beer are the stouts. Like a nice milk or chocolate stout with a much larger alcohol content. ,It is made with up to 30% rice in addition to hops and barley malt.,"That sounds yummy!  Interestingly, Budweiser is made with hops and barley malt, with  up to 30% rice as well","I love stouts too!  They are a type of beer that is brewed with milk, cream, sugar, and malted milk."
30,Molson Coors Brewing Company,"Wow, that a huge one, thanks for enlightening me about Coors Brewing Company",It is the world's seventh largest brewer by volume.,"Oh no problem, the Molson Coors brewing Co that was formed in 2005 is now the Coors Brewing Company.","Coors operates a brewery in Golden, Colorado, that is the largest single brewery facility in the world."
31,Cheddar cheese,"Truthfully, anything with cheese is the best","It is the second-most popular cheese in the US (behind mozzarella), with an average annual consumption of per capita.",Especially cheddar cheese!  It's the second most popular cheese in the US!,I love lasagna too.  It's one of the most popular in the world and has a strong influence abroad.
32,Purple,"Oh that's cool, do you know if purple had any historical uses?","According to surveys in Europe and the U.S., purple is the color most often associated with royalty, magic, mystery and piety.","I would say that it was useful in draping the past Royalty of Europe and other countries, as well as many magician's ensembles.",It was worn by Roman magistrates and it became the imperial color worn by the rulers of the Byzantine Empire and the Roman Empire.
33,Digital photography,Yes now digital camera is trendy,"Until the advent of such technology, photographs were made by exposing light sensitive photographic film and paper, which was processed in liquid chemical solutions to develop and stabilize the image.","Prior to the advent of digital technology,  photographs were made by exposing light sensitive photographic film and paper, which was processed in liquid chemical .",It is also known as a digital SLR or digital video recorder.  It is a video recorder used to record video.
34,The Rolling Stones,The Rolling Stones,"The Rolling Stones are an English rock band formed in London, England in 1962.",I love the Rolling Stones. Do you? They were formed in 1962.,The Rolling Stones are an English rock band formed in London in 1962. Have you heard of them?
35,New York City,"New York City
New York City has always fascinated me.  Have you ever been there?","The City of New York, often called New York City or simply New York, is the most populous city in the United States.","I haven't, but I don't know if I do want to go or not lol. It's the most populated city in America so I don't know if I'm up to so many people!","I have never been to New York City, but I would love to visit one day.  Have you ever been to the Big Apple?"
36,Orc,Yeah I've seen them in a lot of things like Magic and DnD.,"While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".",While the concept remains the same it draws on many preexisting mythology ,"The humanoid, non-maritime race of orcs that exists in Middle-earth is the invention of J R. R. Tolkien"
37,Budweiser,"Oh I didn't know they used rice in their beer. I figured that was all barley, wheat and hops.","In 1876, Adolphus Busch and his friend Carl Conrad, a liquor importer, developed a ""Bohemian-style"" lager in the United States, inspired after a trip to the region.","Yes, and it is a Bohemian-style lager developed by Adolphus Busch and his friend Carl Conrad","Yes, it is!  Interestingly, Budweiser is made with hops and barley malt, with  up to 30% rice as well"
38,Football,"Football
I am a big fan of football.  I didn't watch it as much last season, but I am still a big fan!","Football is a family of team sports that involve, to varying degrees, kicking a ball with a foot to score a goal.","I'm not really a big fan, but I haven't watched it too much. I know it's kicking a ball and scoring a goal on a field though lol!",I love football too. It's the most popular sport in the US. I'm a fan of the Patriots.
39,Coco Chanel,Coco Chanel,She was the founder and namesake of the Chanel brand.,I learned that the founder of the Chanel brand's first name is Coco. Are you familiar with the brand?,Do you like Coco Chanel? She is a French couturier and perfume designer.  
40,Purple,Wow that's really neat. Do you know what wavelengths of light purple occurs at?,"It is similar to violet, but unlike violet, which is a spectral color with its own wavelength on the visible spectrum of light, purple is a composite color made by combining red and blue.",I'm not sure exactly what wavelengths it occurs at. I do know that purple is similar to violet but unlike that spectral color it is a composite color.,"It is similar to violet, but unlike violet, which is a spectral color with its own wavelength on the visible spectrum of light, purple is a composite color made by combining red and blue."
41,Basenji,"Dog
Hi, do you like dogs?",The Basenji is a breed of hunting dog.,"I do! Actually, my favourite is the Basenji breed! It is a hunting dog.",I love dogs! They are such great companions and companionship animals. Do you have a dog?
42,The Rolling Stones,I love them!  Who was in the band at the start?,"The first stable line-up consisted of Brian Jones (guitar, harmonica), Mick Jagger (lead vocals), Keith Richards (guitar, backing vocals), Bill Wyman (bass), Charlie Watts (drums), and Ian Stewart (piano).","The first lineup was Brian Jones, Mick, Keith, Bill Wyman, Charlie Watts and Ian Steward.","The first stable line-up consisted of Brian Jones, Mick Jagger, Keith Richards, Bill Wyman, Charlie Watts, and Ian Stewart."
43,New York City,What is the city population?,"With an estimated 2016 population of 8,537,673 distributed over a land area of about , New York City is also the most densely populated major city in the United States.","There is around 9 million people in New York, and they are also the most densely populated of a major city, due to the size of the area. ","8,550,405 in 2015 (8,491,079 in 2014), distributed over a land area of just"
44,Orc,That's really interesting! Orcs are some of my favorite fictional characters honestly.,"While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".",Orcs were actually created by J R R Tolkein,"The humanoid, non-maritime race of orcs that exists in Middle-earth is the invention of J R. R. Tolkien"
45,Stephen Hawking,Stephen Hawking,"Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.",Stephen Hawking is my favorite psysicist!,"I love Stephen Hawking, he is such an amazing scientist and he was born in 1962, he has ALS and motor neuron disease."
46,Football,Ha.  Yes; the rules seem a little bit different compared to futbol.,"Unqualified, the word ""football"" is understood to refer to whichever form of football is the most popular in the regional context in which the word appears.","Yes, true, and I know 'football' depends a large extent of the area that it is being played, into which form of football it is.","Yes, it's a team sport played with a spherical ball between two teams of eleven players. "
47,Coco Chanel,Yes I wear her fragrance Chanel #5 for the last two decades,"Along with Paul Poiret, Chanel was credited in the post-World War I era with liberating women from the constraints of the ""corseted silhouette"" and popularizing a sporty, casual chic as the feminine standard of style.","I also did not realize how far back the Chanel brand goes. Post WWI, Coco along with Paul Poiret made popular a look for women that was more sporty and chic.",Do you like the design of the bottle? It's an important part of the product's allure.
48,Purple,"What exactly is a composite color, can you explain that a bit more?",Purple is a color intermediate between blue and red.,Composite means that purple is a simple color made by combining red and blue. Violet is different because it's spectral.,It is a color made by combining red and blue. It is a very cool thing to be able to do.
49,Havanese dog,"Oh, those are cool. I have seen them on the Westminster Dog Show, but I've never met one in person. I have a Havanese. ","The Havanese, a breed of Bichon type, is the national dog of Cuba, developed from the now extinct ""Blanquito de la Habana"" (""little white dog of Havana"").","Wow, are you Cuban? I know that the Havanese are the national dog of cuba!","I have never met a Havanese, but I have heard good things about them. They are a medium-sized dog."
50,no_passages_used,Was Mick ever replaced?,no_passages_used,I don't believe so. He's still with the band.,Stewart was removed from the official line-up in 1963 but continued as a touring member until his death in 1985.
51,New York City,Wow!  I didn't realize it was that much!  What is fun to do in the city?,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.","Well, New York is a very powerful city, known for their culture, financial and media, so they have a lot of influence on commerce, research, entertainment, technology, education, politics and sports around the world. So plenty, plenty to do!","There are so many things to do in New York City, like the Statue of Liberty, the Empire State Building, and the Brooklyn Bridge. "
52,Science fiction,Science fiction,"Historically, science-fiction stories have had a grounding in actual science, but now this is only expected of hard science fiction.","Science fiction used to be based on actual science, but now it is pretty much only hard science fiction that bases itself on real science.","Do you like science fiction? It is a genre of speculative fiction, typically dealing with imaginative concepts such as advanced science and technology, spaceflight, time travel, and extraterrestrial life."
53,Stephen Hawking,"Stephen Hawking, my goodness.  I am pretty sure i heard his robot voice on that TV show ""The Big Bang Theory"".  Wasn't he also a recurring cast member on ""The Simpsons""?",Hawking was the first to set out a theory of cosmology explained by a union of the general theory of relativity and quantum mechanics.,Yes! But I'm not sure that was actually him speaking. He was first to make a theory about cosmology.,"Yes, he was on that show. He was also on ""The Simpsons"" as a guest star."
54,no_passages_used,"If you do watch football, do you watch the NFL or do you watch NCAA College football?  Or do you go to local High School games?",no_passages_used,"I would usually watch NFL, and when my son played in school. ","I watch the NFL, but I also watch college football. It was through college football play that American football rules first gained popularity in the United States."
55,Coco Chanel,Yes Coco Chanel was a French fashion designer and a business woman who became an icon,"She is the only fashion designer listed on ""TIME"" magazine's .","Its fascinating her rise in the fashion world. As a matter of fact, she is the only fashion designer to be listed in the Time magazine top 100.","She is the only fashion designer listed on ""Time"" magazine's ""100 Most Influential People"" list."
56,Iguana,Iguana,"Iguana (, ) is a genus of herbivorous lizards that are native to tropical areas of Mexico, Central America, South America, and the Caribbean.","I love Iguanas, I have a few as pets. Do you like lizards at all?","Iguana is a genus of herbivorous lizards that are native to tropical areas of Mexico, Central America, South America, and the Caribbean."
57,Dog,"No, not Cuban, but yes they are the national dog of Cuba! Apparently all the Havanese in the US are descended from a handful that came here from Cuba during the revolution!","The dog was the first species to be domesticated and has been selectively bred over millennia for various behaviors, sensory capabilities, and physical attributes.","Wow! So amazing- imagine,  they were the first species to be domesticated!","Wow, that's amazing! I know that the Havanese are the national dog of cuba!"
58,The Rolling Stones,Nice!  I love all their songs.  Ruby Tuesday is a favorite. ,"Following Wyman's departure in 1993, Darryl Jones joined as their touring bassist.",That is a great song. One of my favs. Wyman left in 1993. Then Darryl Jones replaced as touring bassist.,Ruby Tuesday is one of my favorite songs. It was written by Mick Jagger and Keith Richards.
59,Manhattan,What would you recommend since I wouldn't even know where to start?  I heard that Broadway is big there.,"Locally it is often referred to simply as ""The City"".","Manhattan is known as ""The City"" by the locals, and so there is so much there. Broadway is wonderful in New York, there are also islands you could visit!","Broadway Theater District developed with the showing of the musical, Show Boat. It's a great place to start!"
60,Science fiction,"Well, it still has some basis in actual science I assume. It is 'fictional'...but everything has a basis in truth in my opinion","It usually avoids the supernatural, unlike the related genre of fantasy.","Do you read science fiction?  Usually science fiction stays away from the supernatural, unlike the related genre of fantasy.","Yes, science fiction explores the potential consequences of scientific and other innovations, and has been called a ""literature of ideas""."
61,Stephen Hawking,"Cosmology.  I think Carl Sagan was a cosmologist as well.  What do you think they did with Stephen Hawkings robot computer?  I mean, its not like it could be used by someone else.  Did they give it to Goodwill or something?","In 2002, Hawking was ranked number 25 in the BBC's poll of the 100 Greatest Britons.","Haha, I hope that didn't go to Goodwill. He was ranked #25 in BBC's poll of 100 greatest Britons. Probably in a museum","I'm not sure, but I do know that he died in March of 2017. He was only 76 years old."
62,History of the National Football League in Los Angeles,"Do you keep up with the news of the NFL?  If so, what types of controversies surround the NFL now?  ","Professional American football, especially its established top level, the National Football League (NFL), has had a long and complicated history in Los Angeles, which is the center of the second-largest media market in the United States.",I know the NFL has had a very complicated history in LA. ,"I do, but I don't keep up with the news. I do know that the National Football League and the National Collegiate Athletic Association (NCAA) are the most popular football leagues in the United States."
63,Cake,Cake,Cake is a form of sweet dessert that is typically baked., Cake is a form of sweet dessert it is also my favorite,I love to bake cakes.  They are my favorite food.  Do you like to bake?
64,Lizard,"Yes, I like them. They are interesting.and prehistoric looking.  I like turtles too.","Lizards are a widespread group of squamate reptiles, with over 6,000 species, ranging across all continents except Antarctica, as well as most oceanic island chains.","I agree, they definitely have a prehistoric look to them. There are also over 6000 species spread across the world.",I like turtles too. They are a group of vertebrates that are mostly carnivorous. I like them too.
65,Origin of the domestic dog,"My kids comment sometimes on how funny it is that we have animals live with us and they are like part of the family. Why dogs, and not, say, squirrels? LOL","The domestic dog is a member of the genus ""Canis"", which forms part of the wolf-like canids, and is the most widely abundant terrestrial carnivore.","Exactly! And imagine, they came from a breed of widely abundant terrestrial carnivore. How did we manage to domesticate them?","I agree! I have two cats and a dog! They are great pets, but they are also very expensive!"
66,Dog,Dog,Their long association with humans has led dogs to be uniquely attuned to human behavior and they are able to thrive on a starch-rich diet that would be inadequate for other canid species.,I love dogs they are really your best friends they have been associated with us humans for many years..,"I have a dog, he is a great companion dog.  He is a member of the genus ""Canis"""
67,New York City,Islands?  Isn't New York one big island?,"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.","It is, and they have smaller ones around New York. But, I would go visit Brooklyn, Queens, The Bronx, Manhattan and Staten Island. Go see it all!","Yes, Manhattan is an island, but there are also many smaller islands in New York City, so you can visit them all!"
68,History of science fiction,I do. But a lot of what I read does have supernatural in it as well although in small amounts,"The literary genre of science fiction is diverse, and its exact definition remains a contested question among both scholars and devotees.","Science fiction is quite diverse, and its exact definition hasn't yet been determined by scholars and those that love it.  ","That is true.  Science fiction often explores the potential consequences of scientific and other innovations, and has been called a ""literature of ideas""."
69,Ballet,"Ballet
I have always been interested in Ballet but don't know very much about it.",Ballet () is a type of performance dance that originated during the Italian Renaissance in the 15th century and later developed into a concert dance form in France and Russia.,"Ballet came about from the Italian Renaissance around the 15th century, then caught on fire in Russia and France.",It's a type of performance dance that originated during the Italian Renaissance in the fifteenth century and later developed into a concert dance form in France and Russia.
70,Cruise ship,"Travel
I love to travel! I'm actually taking a cruise in September. What about you?","A cruise ship or cruise liner is a passenger ship used for pleasure voyages, where the voyage itself and the ship's amenities are a part of the experience, as well as the different destinations along the way, i.e., ports of call.",I went on a very cool cruise this past January. Cruises are pleasure voyages and the voyage along with the amenities are all part of the experience. We traveled to Mexico.,"I love to travel as well. I like to travel by foot, bicycle, automobile, train, boat, bus, airplane, ship or other means, with or without luggage."
71,Cake,Cake is so good but I dont eat much of it.,"In its oldest forms, cakes were modifications of breads, but cakes now cover a wide range of preparations that can be simple or elaborate, and that share features with other desserts such as pastries, meringues, custards, and pies.","Well  In its oldest forms, cakes were modifications of breads,",Cake is one of the most popular desserts in the world but I don't eat much of it
72,Iguana,Do they have teeth and does their bite hurt if they bite you?,"Iguanas can range from in length, including their tail.",My Iguanas have teeth but they have never bitten me. I don't think it would hurt terribly because mine are small. Iguanas can vary in length though.,"Yes, they do have teeth.  I have had them bite me a few times, but I have learned to avoid them."
73,Origin of the domestic dog,It's a good question. And I wonder when it started happening?  ,"The archaeological record shows the first undisputed dog remains buried beside humans 14,700 years ago, with disputed remains occurring 36,000 years ago.","Well some say 14, 700 years and others have even argued 36,000 years! Blows my mind!","I'm not sure, but I do know that dogs were used by the Epirotan tribes in war, and were undoubtedly used much earlier in history."
74,Best Friends Animal Society,Same! Do you have any dogs?,"Best Friends works nationwide in outreach programs with shelters, rescue groups and members to promote pet adoption, no-kill animal rescue, and spay-and-neuter practices.",Yes I have 2 I actually got mines from the Best Friend Animal Society which is a shelter that rescues dogs.,"I do not have a dog but I would love to have one one day. The global dog population is estimated to be 900 million, of which 83% are unrestrained."
75,National Football League,"National Football League
I am a huge fan of the NFL.","The National Football League (NFL) is a professional American football league consisting of 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC).",What's your favorite team? I prefer the AFC over the NFC.,The NFL is one of the four major professional sports leagues in North America and the highest professional level of American football in the world.
76,Science fiction film,Are there any particular examples of Sci-Fi that really stand out?,"Science fiction film (or sci-fi film) is a genre that uses speculative, fictional science-based depictions of phenomena that are not fully accepted by mainstream science, such as extraterrestrial lifeforms, alien worlds, extrasensory perception and time travel, along with futuristic elements such as spacecraft, robots, cyborgs, interstellar travel or other technologies.","There are numerous films though none really stand out - usually about things like extraterrestrial lifeforms, alien worlds, extrasensory perception and time travel","Wells used the term originally to cover what we would today call ‘hard science fiction, in which a conscientious attempt to be faithful to already known facts "
77,Ballet,It has so many different terms. What language do they come from?,"It has since become a widespread, highly technical form of dance with its own vocabulary based on French terminology.",Most of the vocabulary is French.  Have you ever watched it?,"I'm not sure, but it's a highly technical form of dance with its own vocabulary based on French terminology."
78,Cruise ship,"Oh cool! What part of Mexico? I've been to Cancun, but that's it.","There are even ""cruises to nowhere"" or ""nowhere voyages"" where the ship makes 2–3 night round trips without any ports of call.","Our cruise was a Walking Dead cruise with one stop in Cozumel. There are some cruises that ""cruise to nowhere"" and the ship just travels for a few days.",Cancun is a resort city on the Pacific coast of Mexico. It's a popular vacation spot.
79,Cake,I bet that was a long time ago?,"Typical cake ingredients are flour, sugar, eggs, butter or oil or margarine, a liquid, and leavening agents, such as baking soda or baking powder.","Yeah if i recall Typical cake ingredients are flour, sugar, eggs, butter or oil or margarine","The earliest description of what is now often called a cupcake was in 1796, when a recipe for ""a light cake to bake in small cups"" was written in ""American Cookery"" by Amelia Simmons."
80,Nintendo,Nintendo,"Nintendo Co., Ltd. is a Japanese multinational consumer electronics and video game company headquartered in Kyoto.","Nintendo Co., Ltd. is a Japanese multinational consumer electronics and video game company ",I love playing Nintendo video games. They are one of the world's largest video game companies by market capitalisation.
81,Canada,Canada,Canada (; ) is a country located in the northern part of North America.,"I have many friends in Canada, located in the northern part of North america",Have you ever been to Canada? It's a sovereign country located in North America. Have you?
82,Welsh Corgi,Oh that's awesome.  I have a corgi who is a year old. She's very well behaved and easily trainable.,"The Welsh Corgi, sometimes known as just a Corgi (, Welsh for ""dwarf dog""; plural ""corgis"" or occasionally the etymologically consistent ""corgwn"" ()), is a small type of herding dog that originated in Wales.",That is a dog similar to mines I have a Welsh corgi it is a much smaller dog though originated from Wales.,"I love corgis they are so cute they are a breed of dog from the genus ""Canis"""
83,National Football League,The AFC? I am all about the NFC and the Saints. ,The NFL was formed in 1920 as the American Professional Football Association (APFA) before renaming itself the National Football League for the 1922 season.,The Saints are a good team. I like Drew Brees. It's crazy that the NFL was formed all the way back in 1920!,"Both conferences were created as part of the 1970 merger with the rival American Football League (AFL), with all ten of the former AFL teams and three NFL teams forming the AFC while the remaining thirteen NFL clubs formed the NFC."
84,Cinematography,Cinematography,"Cinematography (also called ""Direction of Photography"") is the science or art of motion-picture photography by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as film stock.","Thinking about taking a class on Cinematography, the direction of photography",I love to watch movies. I love to see how the images on the film stock are projected for viewing the motion picture.
85,Rudolf Nureyev,I watched a movie one time with Mikhail Baryshnikov which I think is where my fascination with it started. Are there other famous ballet dancers I should watch as well?,"Named Lord of the Dance, Nureyev is regarded as one of ballet's most gifted male dancers.","There is a famous Russian named Rudolf Nureyev, he is known as Lord of the Dance, he defected in 1961.",Baryshnikov is one of the most famous ballet dancers.  There are many others. 
86,Travel,"That's neat. Have you ever wanted to travel to, say, Italy or Greece?","Travel is the movement of people between relatively distant geographical locations, and can involve travel by foot, bicycle, automobile, train, boat, bus, airplane, or other means, with or without luggage, and can be one way or round trip.","I would love to travel to Italy. Traveling is the movement of people from different locations and can be by foot, train, car, plane, cruise, etc. What's your favorite method of traveling?","I've never been to Greece, but I've always wanted to go to Italy. It's a beautiful country."
87,Peyton Manning,Peyton Manning,"Peyton Williams Manning (born March 24, 1976) is a former American football quarterback who played 18 seasons in the National Football League (NFL), primarily with the Indianapolis Colts.",Have you heard of Peyton Manning? He's my favourite NFL player.,Peyton Manning is one of the greatest quarterbacks of all time. He played 18 seasons in the NFL.
88,History of the Nintendo Entertainment System,"Interesting, How long have they been in the business?","Nintendo's 8-bit video game console, the Nintendo Entertainment System (NES), known in Japan as the or , was introduced after the video game crash of 1983, and was instrumental in revitalizing the industry.","It was known in Japan as the or , was introduced after the video game crash of 1983, ","Nintendo is one of the world's largest video game companies by market capitalisation, creating some of the best-known and top-selling video game franchises, such as ""Mario"
