,topic,last_sentence,checked_sentence,eval_label,generated_sentence
20,Motivation,I am not. Could you tell me about them?,"According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""","They said that ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""  Do you agree with what they said?",Mehr and Meyer are two of the most well known psychologists in the United States.  They were born in the early 20th century.
21,Hunting,I can understand about the gophers. And the geese. Canada geese are a scourge!,Hunting can also be a means of pest control.,"The Canadian geese can become huge pests too. In the midwest they often get comfortable in parks and refuse to fly south, leaving droppings everywhere.","Yes, the gophers are a problem. They are a pest to the environment and are a nuisance to humans."
22,The Walking Dead (TV series),When did the series start?  ,"""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.","The Walk Dead premiered in 2010, as a cable tv show on AMC","The Walking Dead premiered in the US on October 31, 2010 on AMC. It's a great show. "
23,J. K. Rowling,"I have heard that, I recognize her name, I know she is very famous","Born in Yate, Gloucestershire, England, Rowling was working as a researcher and bilingual secretary for Amnesty International when she conceived the idea for the ""Harry Potter"" series while on a delayed train from Manchester to London in 1990.","Yeah she wasn't famous before writing Harry Potter, she says she came up with the idea while on a delayed train from Manchester to London in 1990.","Yes she is very well known. The novels chronicle the lives of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley."
24,Jailhouse Rock (film),oh wow thats a classic.  what about jailhouse rock,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",Pretty good. Didn't Elvis make Jailhouse rock into a movie?,"Yes, it's a little bit of jailhouse rock. It's a bit different from his earlier stuff."
25,Ireland,"Wow, I just feel like visiting their now.",Thick woodlands covered the island until the Middle Ages.,Yes but be careful you don't get lost in the thick woodlands! ,"It is also surrounded by the Atlantic Ocean, with the Celtic Sea to the south and Saint George's Channel to the west."
26,Archery,An I guess it has spread out through out all the different cultures. Which type of bow do you consider to be the best?,"There are no definite earlier bows; previous pointed shafts are known, but may have been launched by spear-throwers rather than bows.","I like spear-throwers rather than bows, but all of them are pretty cool.","I think the bow and arrow is the best, it's a ranged weapon system consisting of an elastic launching device (bow) and long-shafted projectiles (arrows)."
27,Aztec religion,Ah so that makes sense why mine think they're gods lol ,The Aztec religion is the Mesoamerican religion of the Aztecs.,The Aztec religion upheld them as living gods with the power to return life to the dead and grand you fortune and fame.,"Well people think they were named after Chihuahua in mexico, and were worshipped as deities by the Aztecs "
28,Thierry Henry,"Thierry Henry
Thierry Henry is one of my all time favorite players. What about you?",Thierry Daniel Henry (; born 17 August 1977) is a retired French professional footballer who played as a forward and is the second assistant manager of the Belgium national team.,He was good.  he is a retired French professional footballer,"Thierry Henry is one of my all time favorite players.  He was born in Paris, France."
29,Hunting,So gross. Are they even from Canada? ,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.","Some of them are. They goose problem has become so bad that some people have gone from hunting them, to poaching them, which is illegally killing them. ",I'm not sure but I know they are native to Canada. They are a member of the goose family.
30,no_passages_used,Hunting,no_passages_used,"Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before? ",I love to go hunting.  I love to hunt animals or birds.  Do you like to hunt?
31,Harry Potter,"That is a long time ago, it makes realize how old I am since it was so popular when I was a child","Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",It originally came out in june of 1997.,"Yeah it was, the main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and Muggles (non-magical people)."
32,Broken heart,"Broken heart
Have you ever had a broken heart?\",Broken heart (also known as a heartbreak or heartache) is a term metaphor for the intense emotional—and sometimes physical—stress or pain one feels at experiencing great longing.,"Yes, I have suffered from a broken heart which is a metaphor for major emotional and physical pain that someone feels from the longing of a loved one. How about you?","I have not, but I have been in love with the same person for a long time. "
33,List of national parks of the United States,"List of national parks of the United States
I love national parks dont you?","A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872, followed by Mackinac National Park in 1875 (decommissioned in 1895), and then Rock Creek Park (later merged into National Capital Parks), Sequoia and Yosemite in 1890.","I do! The first national park was Yellowstone, signed into law by President Ulysses Grant in 1972.","Yes, I do.  I love the national parks of the United States.  There are over 450 of them."
34,Archery,Have you done any competitive archery?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.","I don't personally do it but I really admire it, people who are experts in it are called toxophilites.","I haven't done any competitive archery, but I've done target archery. It's a sport where you shoot arrows at a target for accuracy from a set distance."
35,Chihuahua (dog),"That's really interesting, I never knew that! So they were like furry little royals then?","In fact, wheeled dog toys representing the Chihuahua have been unearthed across Mesoamerica from Mexico to El Salvador.",Absolutely they even mad wheeled dog toys representing the  Chihuahua kids could carry around with for good luck and fun.,"Yeah they were, they were considered royalty. They had a wide variety of colors, and two coat lengths."
36,Thierry Henry,Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.,"He played for Monaco, Juventus, Barcelona, New York Red Bulls and spent eight years at Arsenal where he is the club's all-time record goalscorer.","He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere ",Thierry Henry is one of my all time favorite players.  he is a retired French footballer
37,Discovery Channel,Discovery Channel,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",The discover channel used to be a great channel on television but it went down the drain,"Have you ever watched the Discovery Channel? It is an American pay television channel that is the flagship and namesake television property of Discovery, Inc."
38,Hunting,"No, i haven't. It's not really my cup of tea.",Hunting can also be a means of pest control.,"I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops. ","Ive never been hunting myself, but I know it is a sport involving the pursuit of the elusive wild turkey. "
39,American football,"American football
I rather enjoy American football particularly college football. Do you watch/ have a favorite team?","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.","I do, the Dallas Cowboys. Bad of late but they will do great one day.","Yes, I do.  I like watching college football.  It is the most popular sport in the United States."
40,Broken heart,"I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.","Emotional pain that is severe can cause 'broken heart syndrome', including physical damage to the heart.","When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.","Yes, that was a tough one. It was very hard for me to let go of my dog, but I am glad he was able to live a long life. "
41,List of national parks of the United States,"Yes, I have never been there but I would love to go, have you been?","A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872, followed by Mackinac National Park in 1875 (decommissioned in 1895), and then Rock Creek Park (later merged into National Capital Parks), Sequoia and Yosemite in 1890.","I have! I've also been to Rock Creek Park, Yosemite, and Mackinac National Park!","I have never been to any of the national parks, but I would love to go to Yellowstone. It is one of the most visited national parks in the United States."
42,Guns N' Roses,"Guns N' Roses
Have you heard of the band Guns N' Roses? They are my favorite band ever","Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985.","Sure the band was formed inn 1985 in  Los Angeles, California.  What is tour favorite album?","Yes, I love Guns N' Roses. They are one of my favorite bands of all time."
43,Nickelback,"Nickelback
I went to a nickelback concert this past summer","The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are,"I have never been to a nickelback concert, but I have heard of them. They are an American rock band."
44,Thierry Henry,Thats quite a resume. He scored so many great goals too.,At international level he represented France and is his country's record goalscorer.,he represented France and is his country's record goalscorer and was really good at it,"He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere "
45,Discovery Channel,Oh yeah I've noticed that it really took a dip in quality recently.,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",The discovery channel was simply referred to as didcovery back in 1985 tho,The discover channel used to be a great channel on television but it went down the drain when they changed the name to discovery in 1995
46,Common warthog,"Yes, that is completely understandable. Are warthogs edible?",A warthog is identifiable by the two pairs of tusks protruding from the mouth and curving upwards.,"Usually yes but I always save the two pairs of tusks protruding from its mouth as a trophy, Their skin i svery think and hard to cut, But there are some hunters who eat them. ","Yes, they are edible, they can be used as a source of food for livestock and other animals. "
47,American football,"They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it.","The offense, which is the team controlling the oval-shaped football, attempts to advance down the field by running with or passing the ball, while the defense, which is the team without control of the ball, aims to stop the offense's advance and aims to take control of the ball for themselves.","yes one day our offense will do great things with the football. Running, passing our way to victory.",That's true. The Dallas Cowboys have been around since 1960 and have won eight Super Bowls.
48,Broken heart,I;m sorry you had to do that it is sad.,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",I'm sorry for you too! It is so difficult! It is believed that the emotional pain of a broken heart is part of the survival instinct.,"Yes, it was very hard, but it was the right thing to do. It's so sad to think about how many people suffer from the loss of a loved one."
49,no_passages_used,"I live in Arkansas and love the Hot SPrings National Park and have been there many times, really it is beautiful",no_passages_used,I've never been to that one! I bet its beautiful!,"I've never been to Hot Springs, but I've heard it's known for its wildlife and its many geothermal features, especially Old Faithful geyser, one of its most popular features."
50,Guns N' Roses,Id say my favorite is Appetite for destruction ,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Yes that is  good.  They have released six studio albums and sold more than 100 million records worldwide.,"Appetite for Destruction is the debut studio album by American hard rock band Guns N' Roses.  It was released on July 21, 1987"
51,Nickelback,"The lead singer was very funny during the set, I forget his name though.","Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada.",I wasn't aware at first but Nickelback is not American there originating from Canada,"He was very funny, he is the lead vocalist and guitarist for Nickelback, Chad Kroeger, the guitarist and backing vocalist Ryan Peake, the bassist Mike Kroeger and the drummer Brandon Kroeger."
52,Thierry Henry,"Yes I agree, Its a shame he did not win the world cup in 2006.",Henry made his professional debut with Monaco in 1994.,He had his professional debut with Monaco in 1994.,He was also a member of the France national football team and played in the 1998 World Cup and the 2002 World Cup
53,Discovery Channel,It was? I haven't been around for long enough to have seen that.,", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.","itspopular too, discovery channel is the third most distributed on cabel",The discovery channel used to be the third most widely distributed subscription channel in the US behind TBS and the weather channel
54,Elvis Presley,Elvis Presley,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll","Have you ever heard of Elvis Presley? He was a great singer, songwriter, and actor."
55,Tony Romo,"Ha, well now that the Tony Romo era has ended that is more likely.","Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).","yes, he played 14 seasons and those were truly the worst. We, and all dallas fans are very happy he is gone.","Tony Romo was a great quarterback, but I think the Cowboys will be fine without him. He was the best in his era."
56,Broken heart,"That is really interesting, what other facts do you know about broken hearts?","The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.",I know that the broken heart concept is universal with many cultures using the same words to explain their pain and the feelings of loss.,"The concept of a broken heart dates back at least 3,000 years, so it is very old!"
57,List of national parks of the United States,"It is, and there are lots of natural hot springs throughout the park, hence the city name, it is like a hidden gem","The United States has 59 protected areas known as national parks that are operated by the National Park Service, an agency of the Department of the Interior.",Wow that sounds so beautiful. I hope to someday visit all of the 59 protected areas known as national parks in the United States!,"I've never been to that one! I bet its beautiful! I've been to Yellowstone National Park, which is the largest national park in the United States."
58,Guns N' Roses,"They are very popular, The band was formed by Rose’s band, Hollywood Rose, and Tracii Guns’s band, L.A. Guns, thats where they got their name from. ","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",That's right.  They are one of the best selling artists of all time.,"Yes that is correct.  They were formed by Rose and Tracii Guns in Los Angeles, California."
59,Nickelback,I didn't know that either. Do they tour there?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",I think the lead guitarist his name might be Nick Kroger or something like that,I'm not sure if they do but they have a lot of fans in the United States and Canada
60,Thierry Henry,That was over twenty years ago! Seems like just yesterday. ,"Good form led to an international call-up in 1998, after which he signed for the Serie A defending champions Juventus.",Yeah I have heard Good form led to an international call-up in 1998,Thierry Henry is one of my all time favorite players.  he is a retired French professional footballer
61,Discovery Channel,Even now that the channel is a little bit dumb?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",Yea well it panders now so it makes sense that the discovery channel is a bad tc network,"yes, it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels"
62,Rock N Roll Experience Magazine,"Yes, I love classic rock, especially from the 50s.",Rock N Roll Experience Magazine is a Maryland based publication that started out in 1992 as a print zine and switched over to an online zine in 2000.,yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes,"He is one of the most significant cultural icons of the 20th century, he is often referred to as the King of Rock and Roll"
63,Dak Prescott,Do you think Prescott will be the one to turn it around?,"Rayne Dakota ""Dak"" Prescott (born July 29, 1993) is an American football quarterback for the Dallas Cowboys of the National Football League (NFL).","I actually went to college with Dak, we can only hope that him being in the NFL will help the dallas cowboys.",I think he will be the one. He is a great player. He has a great arm and has been in the league for a long time.
64,Broken heart,that is so interesting.,"The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years.",It is! The concept crosses cultural boundaries and is often cited with a reference of a lost lover dating back over 3000 years.,I know that the concept is universal with many cultures using the same words to explain their pain and the feelings of loss.
65,Bowling,"Bowling
Bowling is real popular in my area, I live around a lot of old people.",Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.,"Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?",I love to bowl too.  It's a sport that's been around since the early 19th century.
66,Steven Adler,"Indeed among the best, I believe that Steven Adler was the first to leave the band, getting kicked out in 1990 when his drug abuse got out of control","He is best known as the former drummer and co-songwriter of the hard rock band Guns N' Roses, with whom he achieved worldwide success in the late 1980s.","That is a pity, his heroin addiction,  He was very talented, he achieved worldwide success in the late 1980s.",Yes that is true.  He was replaced by Gilby Clarke of Kill For Thrills. 
67,no_passages_used,Kroger sounds familiar. Chad maybe?,no_passages_used,You're right it is Chad Kroeger I don't know where I think I got the Nick from the Nickelback part and I'm not really sure if they tore in their own country like why wouldn't they,I think he is Chad Kroeger he is the lead vocalist and guitarist for the band Nickelback
68,American football,"American football
I don't really know the rules of American Football","The offense, which is the team controlling the oval-shaped football, attempts to advance down the field by running with or passing the ball, while the defense, which is the team without control of the ball, aims to stop the offense's advance and aims to take control of the ball for themselves.","Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.",It is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.
69,Skiing,Skiing,Skiing has a history of almost five millennia.,"Skiing is a pretty fun sport, but interestingly enough, it's also got a history of nearly 5 millennia. Five!","Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow."
70,Rock N Roll Experience Magazine,Can you tell me more about that magazine?,"In the 1992 the first issue of ""Rock N Roll Experience"" debuted with reviews on Kiss, Alice in Chains & comic books.","They started in 1992, and have done colorful interviews with bands like KISS",Rock N Roll Experience Magazine is a magazine that covers the history of rock and roll. It has a lot of great interviews and music.
71,Harry Potter,"Harry Potter
I really like the Harry Potter franchise","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",Harry Potter chronicles the life of Harry Potter and his friends.,I love the Harry Potter series of fantasy novels written by British author J.K. Rowling. 
72,Skiing,Skiing,"Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.","My favorite past time is skiing. means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.","Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow."
73,no_passages_used,"Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience",no_passages_used,"That reminds me, have you ever heard of the band Let's Go Bowling? It's a ska band from California.","Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?"
74,Axl Rose,rumor had it that the sound engineer Bob Clearmountain said Axl Rose “would threaten to quit the band three times a week.”,"He is the lead vocalist of the hard rock band Guns N' Roses, and has also been the band's sole constant member since its inception in 1985.",Really? But despite it he has been the band's sole constant member since 1985.,"Indeed among the best, I believe that Steven Adler was the first to leave the band, getting kicked out in 1990 when his drug abuse got out of control "
75,"On-again, off-again relationship","On-again, off-again relationship
Im so sad, i broke up again with my grilfriend, well ex girlfriend, she doesnt understand me, its so tiring being on again off again kind of relationship! have you ever been in a situation like this?","they live in different places), or for emotional reasons (e.g., they cannot relate to each other outside of a sexual relationship, perhaps sharing little in common).","Yes I have in the past. It was for emotional reasons, but I know people in the situation because of physical geography","I have not, but I have been in a situation like that before.  I was in a relationship with my ex girlfriend for a year and a half.  It was very hard for me."
76,Super Bowl commercials,It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements,"The U.S. television broadcast of the Super Bowl – the championship game of the National Football League (NFL) – features many high-profile television commercials, colloquially known as Super Bowl ads.","Oh I can understand that, advertising is so frustrating unless they are super bowl commercials. I like to watch Redzone on Sunday's ever heard of it?","I agree, I like soccer too, it is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end."
77,Skiing,Wow! I wonder where it originated?,"Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","Modern skiing came from Scandinavia, but it was thought to originally come from China, as seen in ancient paintings. Who would've thought.","Skiing has evolved from beginnings in Scandinavia, but it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings."
78,The Walking Dead (TV series),The Walking Dead (TV series),"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.","Have you seen the TV series "" The Walking Dead"" an American post-apocalyptic thriller.","The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series by Robert Kirkman, Tony Moore, and Charlie Adlard."
79,Harry Potter,I really think that Harry Potter should not have been the main character though,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.",The story concerns Harry's battle with Lord Voldemort.,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal."
80,Skiing,"I have only went skiing once and loved it!  It was really hard though.  I imagine it takes a lot of practice, right?",On one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.,Sure.it takes a lot of endurance . one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.,"Yes, it takes a lot of practice. Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS)."
81,Let's Go Bowling,"I love ska but surprisingly I've never heard of them, I have heard bowling for soup though lol","Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.","I've never heard of bowling for soup lol. Let's Go Bowling performed on events along with Pearl jam, No Doubt, Goo Goo Dolls and many many more.","I've never heard of that one, but I've heard of the band Los Hooligans. They're a punk rock band from Los Angeles."
82,Dylan's Candy Bar,"Dylan's Candy Bar
I like Dylans bars do you?","Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",Yes Dylans Candy Bar is my favorite boutique candy store,"Yes, I love them! They have 7,000 different kinds of candies from around the world."
83,"On-again, off-again relationship","Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.","Sometimes when couples break up, one member of the relationship may regress to their former partner for comfort after a period of time.",Did you ever go back to your partner for comfort?,"True love is when you are in a relationship for a long period of time and you can't break it off, but you still have feelings for each other, but it is not the same as true love."
84,NFL RedZone,"no, what is that?",NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,"Redzone is a channel that shows all of the games happening concurrently, with no commercials. They only show the big plays from all of the games.","It is a special game-day exclusive, it is a simulcast of all Sunday afternoon games airing on CBS and Fox."
85,Cross-country skiing (sport),"That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?",Ski and Snowboard Association (USSA) and Cross Country Ski Canada.,"Hmm I'm not sure, maybe! You should petition the Ski and Snowboard Association and Cross Country Ski Canada to research this line of questioning!","Cross country skiing is a sport where you use skis to glide on the snow, so I'm sure genetics have something to do with it."
